"Accession","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Q5TZA2;Q96RG2;P0C5J1;Q8N7N1",-0.646833524579777,-2.10989618104385,-2.9789604587486,0.00372344181461802,0.20121304782701,-2.03891479992876
"A0A096LPE2;P35542;Q09328",-0.328617112984111,1.53767798127247,-2.95947650434879,0.00394435862695351,0.20121304782701,-2.07988727297919
"P02760",0.165484478646842,4.68423576992823,2.92185597334,0.00440552032445122,0.20121304782701,-2.15840384476702
"P08603",-0.26419025199632,4.29923197703755,-2.90966018372451,0.00456537059785453,0.20121304782701,-2.18368804031211
"P04217",0.241928616740398,6.5645802509757,2.8566435527673,0.00532424371666992,0.20121304782701,-2.29263042117195
"O60437",-0.887455209788113,-4.26783704023689,-2.7612336072448,0.00698791725704351,0.20121304782701,-2.48465586673413
"P00746",-0.60006055410511,-5.69265831917109,-2.71720374532383,0.00790547241778508,0.20121304782701,-2.57149820662232
"Q9BXR6",-0.400018573259301,-2.76580911148296,-2.71350553496922,0.00798733068635923,0.20121304782701,-2.57874081572808
"P02749",0.185530723819308,5.96792309097635,2.68948145734112,0.00853815205057648,0.20121304782701,-2.62559418220794
"P05546",-0.290259801115059,3.62666642799914,-2.66598472682745,0.00911006677758919,0.20121304782701,-2.67108986898451
"P0C0L4",-0.413570920471014,2.23306153491821,-2.6363458626791,0.00988099788436208,0.20121304782701,-2.72801128209328
"Q16610",0.35672323271456,0.34742835573603,2.56431158134395,0.0120067591188334,0.224126170218224,-2.86416110467637
"Q92698",-0.61930400175341,-3.79691649144674,-2.53093837519142,0.0131247832614189,0.22530582724079,-2.92617563706442
"P20851",-0.222155593958883,0.470039543842669,-2.50434905915555,0.0140816142025494,0.22530582724079,-2.97509785916137
"Q96PD5",0.178998042403073,3.77736562766,2.45636388761743,0.0159679391329356,0.238454557718505,-3.06228679783045
"P27918",-0.381086886939909,0.634378912302918,-2.40195731278969,0.0183773422520195,0.253285423331083,-3.15941583140387
"Q96PZ0",-0.656067954097401,-3.85220548843764,-2.36117228793421,0.0203904536389681,0.253285423331083,-3.23101141667835
"Q13474",-0.385927575339168,-0.593773732818508,-2.34676521108931,0.0211469913692837,0.253285423331083,-3.25605135646922
"P00748",0.199656524372835,0.960493982539209,2.3276000266006,0.0221918742593948,0.253285423331083,-3.28915711230437
"Q12929",-0.280936464292248,1.07216988242527,-2.31095328181885,0.0231362351223602,0.253285423331083,-3.31772298526728
"P06396",-0.192983005982347,4.01166406951882,-2.29468145665903,0.0240934433255872,0.253285423331083,-3.34547460960617
